Number of C5.0 Attributes,Number of Event Types,Number of Values,Number of Selection Constraints,Number of Attributes,Number of Relevant Types,Number of Negation Constraints,Number of Aggregate Constraints,Number of Parameter Constraints,Window,Number of Errors,Original Precision,Original Recall,Original F-score,Misclassification Cost Estimate,Final Precision,Final Recall,Final F-score,iCEP Precision,iCEP Recall,iCEP F-score
135,15,50,1,2,3,0,5,0,20,621784,0.7493067110371603,0.9926524614254225,0.8539823008849557,2.6666667461395264,0.8328682170542636,0.9867744305657604,0.9033125945855053,0.7845826893353941,1.0,0.8792898127097543
135,15,50,1,2,3,0,2,0,20,20500,0.8307513555383423,0.99721059972106,0.906401859285865,3.3333332538604736,0.8409090909090909,0.99767549976755,0.9126089729959601,0.7650137741046832,1.0,0.866864367098486
135,15,50,1,2,3,0,3,0,20,71852,0.8070661586421891,0.9961522017956391,0.8916953693073096,7.333333492279053,0.8265813788201848,0.9944420692603677,0.9027750824762274,0.22204788866907701,1.0,0.3634029250865245
135,15,50,1,2,3,0,2,0,20,139904,0.45989143546441497,0.9986902423051736,0.629774932892835,13.333333015441895,0.6628796154686476,0.9934512115258677,0.795177565194601,0.256836390121168,1.0,0.4087029817722052
135,15,50,1,2,3,0,2,0,20,139904,0.45989143546441497,0.9986902423051736,0.629774932892835,13.333333015441895,0.6628796154686476,0.9934512115258677,0.795177565194601,0.256836390121168,1.0,0.4087029817722052
135,15,50,1,2,3,0,3,0,20,135293,0.4961165048543689,1.0,0.6632057105775471,18.66666603088379,0.6304212492218303,0.9908675799086758,0.770577045022194,0.2621695891127977,1.0,0.41542688300243635
135,15,50,1,2,3,0,5,0,20,153290,0.5461292200232829,1.0,0.7064470588235294,15.333333015441895,0.7132254995242626,0.9986677324806821,0.8321492007104796,0.3323734836417106,1.0,0.4989193911803927
135,15,50,1,2,3,0,2,0,20,13087,0.9166979362101313,0.9995908346972177,0.9563515365042082,2.6666667461395264,0.9087523277467412,0.9983633387888707,0.951452524858647,0.9470179502026635,1.0,0.9727881040892193
135,15,50,1,2,3,0,3,0,20,28133,0.851927570093458,0.9915023793337865,0.916431039899466,8.666666984558105,0.9122474747474747,0.982324949014276,0.9459901800327333,0.9906172839506173,1.0,0.9952865293971719
135,15,50,1,2,3,0,5,0,20,579407,0.7502771618625277,0.9937591776798825,0.8550221099178775,10.0,0.8329215565163681,0.9900881057268722,0.9047299563904729,0.3762232693004712,1.0,0.5467474321833026
135,15,50,1,2,3,0,2,0,20,28947,0.8016353725015143,0.9538738738738739,0.8711535297021558,12.0,0.8820816864295126,0.9650450450450451,0.9217002237136466,0.9529100529100529,1.0,0.9758872934164183
135,15,50,1,2,3,0,3,0,20,8849,0.9458446866485014,0.9967695620961953,0.9706396364907375,6.666666507720947,0.9713086074177747,0.9964106245513281,0.9836995038979448,0.9819292440824637,1.0,0.9908822396301529
135,15,50,1,2,3,0,5,0,20,624163,0.7985480943738656,1.0,0.887991927346115,7.333333492279053,0.8224945020420986,0.9916666666666667,0.8991928559161945,0.7981981981981981,1.0,0.8877755511022044
135,15,50,1,2,3,0,2,0,20,19406,0.8608562691131498,0.9942604856512142,0.9227617291538619,3.3333332538604736,0.8730097087378641,0.9924944812362031,0.9289256198347108,0.290759270158917,1.0,0.45052439580483356
135,15,50,1,2,3,0,3,0,20,14012,0.9320094244362168,0.974313863476425,0.9526922415276106,6.0,0.9515403253721011,0.9672765657987333,0.9593439190368173,0.9706535141800247,1.0,0.9851082467776248
135,15,50,1,2,3,0,5,0,20,621784,0.7493067110371603,0.9926524614254225,0.8539823008849557,2.6666667461395264,0.8328682170542636,0.9867744305657604,0.9033125945855053,0.7845826893353941,1.0,0.8792898127097543
135,15,50,1,2,3,0,2,0,20,20500,0.8307513555383423,0.99721059972106,0.906401859285865,3.3333332538604736,0.8409090909090909,0.99767549976755,0.9126089729959601,0.7650137741046832,1.0,0.866864367098486
135,15,50,1,2,3,0,3,0,20,71852,0.8070661586421891,0.9961522017956391,0.8916953693073096,7.333333492279053,0.8265813788201848,0.9944420692603677,0.9027750824762274,0.22204788866907701,1.0,0.3634029250865245
135,15,50,1,2,3,0,2,0,20,139904,0.45989143546441497,0.9986902423051736,0.629774932892835,13.333333015441895,0.6628796154686476,0.9934512115258677,0.795177565194601,0.256836390121168,1.0,0.4087029817722052
135,15,50,1,2,3,0,2,0,20,139904,0.45989143546441497,0.9986902423051736,0.629774932892835,13.333333015441895,0.6628796154686476,0.9934512115258677,0.795177565194601,0.256836390121168,1.0,0.4087029817722052
135,15,50,1,2,3,0,3,0,20,135293,0.4961165048543689,1.0,0.6632057105775471,18.66666603088379,0.6304212492218303,0.9908675799086758,0.770577045022194,0.2621695891127977,1.0,0.41542688300243635
135,15,50,1,2,3,0,5,0,20,153290,0.5461292200232829,1.0,0.7064470588235294,15.333333015441895,0.7132254995242626,0.9986677324806821,0.8321492007104796,0.3323734836417106,1.0,0.4989193911803927
135,15,50,1,2,3,0,2,0,20,13087,0.9166979362101313,0.9995908346972177,0.9563515365042082,2.6666667461395264,0.9087523277467412,0.9983633387888707,0.951452524858647,0.9470179502026635,1.0,0.9727881040892193
135,15,50,1,2,3,0,3,0,20,28133,0.851927570093458,0.9915023793337865,0.916431039899466,8.666666984558105,0.9122474747474747,0.982324949014276,0.9459901800327333,0.9906172839506173,1.0,0.9952865293971719
135,15,50,1,2,3,0,5,0,20,579407,0.7502771618625277,0.9937591776798825,0.8550221099178775,10.0,0.8329215565163681,0.9900881057268722,0.9047299563904729,0.3762232693004712,1.0,0.5467474321833026
135,15,50,1,2,3,0,2,0,20,28947,0.8016353725015143,0.9538738738738739,0.8711535297021558,12.0,0.8820816864295126,0.9650450450450451,0.9217002237136466,0.9529100529100529,1.0,0.9758872934164183
135,15,50,1,2,3,0,3,0,20,8849,0.9458446866485014,0.9967695620961953,0.9706396364907375,6.666666507720947,0.9713086074177747,0.9964106245513281,0.9836995038979448,0.9819292440824637,1.0,0.9908822396301529
135,15,50,1,2,3,0,5,0,20,624163,0.7985480943738656,1.0,0.887991927346115,7.333333492279053,0.8224945020420986,0.9916666666666667,0.8991928559161945,0.7981981981981981,1.0,0.8877755511022044
135,15,50,1,2,3,0,2,0,20,19406,0.8608562691131498,0.9942604856512142,0.9227617291538619,3.3333332538604736,0.8730097087378641,0.9924944812362031,0.9289256198347108,0.290759270158917,1.0,0.45052439580483356
135,15,50,1,2,3,0,3,0,20,14012,0.9320094244362168,0.974313863476425,0.9526922415276106,6.0,0.9515403253721011,0.9672765657987333,0.9593439190368173,0.9706535141800247,1.0,0.9851082467776248
135,15,50,1,2,3,0,5,0,20,621784,0.7493067110371603,0.9926524614254225,0.8539823008849557,2.6666667461395264,0.8328682170542636,0.9867744305657604,0.9033125945855053,0.7845826893353941,1.0,0.8792898127097543
135,15,50,1,2,3,0,2,0,20,20500,0.8307513555383423,0.99721059972106,0.906401859285865,3.3333332538604736,0.8409090909090909,0.99767549976755,0.9126089729959601,0.7650137741046832,1.0,0.866864367098486
135,15,50,1,2,3,0,3,0,20,71852,0.8070661586421891,0.9961522017956391,0.8916953693073096,7.333333492279053,0.8265813788201848,0.9944420692603677,0.9027750824762274,0.22204788866907701,1.0,0.3634029250865245
135,15,50,1,2,3,0,2,0,20,139904,0.45989143546441497,0.9986902423051736,0.629774932892835,13.333333015441895,0.6628796154686476,0.9934512115258677,0.795177565194601,0.256836390121168,1.0,0.4087029817722052
135,15,50,1,2,3,0,2,0,20,139904,0.45989143546441497,0.9986902423051736,0.629774932892835,13.333333015441895,0.6628796154686476,0.9934512115258677,0.795177565194601,0.256836390121168,1.0,0.4087029817722052
135,15,50,1,2,3,0,3,0,20,135293,0.4961165048543689,1.0,0.6632057105775471,18.66666603088379,0.6304212492218303,0.9908675799086758,0.770577045022194,0.2621695891127977,1.0,0.41542688300243635
135,15,50,1,2,3,0,5,0,20,153290,0.5461292200232829,1.0,0.7064470588235294,15.333333015441895,0.7132254995242626,0.9986677324806821,0.8321492007104796,0.3323734836417106,1.0,0.4989193911803927
135,15,50,1,2,3,0,2,0,20,13087,0.9166979362101313,0.9995908346972177,0.9563515365042082,2.6666667461395264,0.9087523277467412,0.9983633387888707,0.951452524858647,0.9470179502026635,1.0,0.9727881040892193
135,15,50,1,2,3,0,3,0,20,28133,0.851927570093458,0.9915023793337865,0.916431039899466,8.666666984558105,0.9122474747474747,0.982324949014276,0.9459901800327333,0.9906172839506173,1.0,0.9952865293971719
135,15,50,1,2,3,0,5,0,20,579407,0.7502771618625277,0.9937591776798825,0.8550221099178775,10.0,0.8329215565163681,0.9900881057268722,0.9047299563904729,0.3762232693004712,1.0,0.5467474321833026
135,15,50,1,2,3,0,2,0,20,28947,0.8016353725015143,0.9538738738738739,0.8711535297021558,12.0,0.8820816864295126,0.9650450450450451,0.9217002237136466,0.9529100529100529,1.0,0.9758872934164183
135,15,50,1,2,3,0,3,0,20,8849,0.9458446866485014,0.9967695620961953,0.9706396364907375,6.666666507720947,0.9713086074177747,0.9964106245513281,0.9836995038979448,0.9819292440824637,1.0,0.9908822396301529
135,15,50,1,2,3,0,5,0,20,624163,0.7985480943738656,1.0,0.887991927346115,7.333333492279053,0.8224945020420986,0.9916666666666667,0.8991928559161945,0.7981981981981981,1.0,0.8877755511022044
135,15,50,1,2,3,0,2,0,20,19406,0.8608562691131498,0.9942604856512142,0.9227617291538619,3.3333332538604736,0.8730097087378641,0.9924944812362031,0.9289256198347108,0.290759270158917,1.0,0.45052439580483356
135,15,50,1,2,3,0,3,0,20,14012,0.9320094244362168,0.974313863476425,0.9526922415276106,6.0,0.9515403253721011,0.9672765657987333,0.9593439190368173,0.9706535141800247,1.0,0.9851082467776248
135,15,50,1,2,3,0,5,0,20,621784,0.7493067110371603,0.9926524614254225,0.8539823008849557,2.6666667461395264,0.8328682170542636,0.9867744305657604,0.9033125945855053,0.7845826893353941,1.0,0.8792898127097543
135,15,50,1,2,3,0,2,0,20,20500,0.8307513555383423,0.99721059972106,0.906401859285865,3.3333332538604736,0.8409090909090909,0.99767549976755,0.9126089729959601,0.7650137741046832,1.0,0.866864367098486
135,15,50,1,2,3,0,3,0,20,71852,0.8070661586421891,0.9961522017956391,0.8916953693073096,7.333333492279053,0.8265813788201848,0.9944420692603677,0.9027750824762274,0.22204788866907701,1.0,0.3634029250865245
135,15,50,1,2,3,0,2,0,20,139904,0.45989143546441497,0.9986902423051736,0.629774932892835,13.333333015441895,0.6628796154686476,0.9934512115258677,0.795177565194601,0.256836390121168,1.0,0.4087029817722052
135,15,50,1,2,3,0,2,0,20,139904,0.45989143546441497,0.9986902423051736,0.629774932892835,13.333333015441895,0.6628796154686476,0.9934512115258677,0.795177565194601,0.256836390121168,1.0,0.4087029817722052
135,15,50,1,2,3,0,3,0,20,135293,0.4961165048543689,1.0,0.6632057105775471,18.66666603088379,0.6304212492218303,0.9908675799086758,0.770577045022194,0.2621695891127977,1.0,0.41542688300243635
135,15,50,1,2,3,0,5,0,20,153290,0.5461292200232829,1.0,0.7064470588235294,15.333333015441895,0.7132254995242626,0.9986677324806821,0.8321492007104796,0.3323734836417106,1.0,0.4989193911803927
135,15,50,1,2,3,0,2,0,20,13087,0.9166979362101313,0.9995908346972177,0.9563515365042082,2.6666667461395264,0.9087523277467412,0.9983633387888707,0.951452524858647,0.9470179502026635,1.0,0.9727881040892193
135,15,50,1,2,3,0,3,0,20,28133,0.851927570093458,0.9915023793337865,0.916431039899466,8.666666984558105,0.9122474747474747,0.982324949014276,0.9459901800327333,0.9906172839506173,1.0,0.9952865293971719
135,15,50,1,2,3,0,5,0,20,579407,0.7502771618625277,0.9937591776798825,0.8550221099178775,10.0,0.8329215565163681,0.9900881057268722,0.9047299563904729,0.3762232693004712,1.0,0.5467474321833026
135,15,50,1,2,3,0,2,0,20,28947,0.8016353725015143,0.9538738738738739,0.8711535297021558,12.0,0.8820816864295126,0.9650450450450451,0.9217002237136466,0.9529100529100529,1.0,0.9758872934164183
135,15,50,1,2,3,0,3,0,20,8849,0.9458446866485014,0.9967695620961953,0.9706396364907375,6.666666507720947,0.9713086074177747,0.9964106245513281,0.9836995038979448,0.9819292440824637,1.0,0.9908822396301529
135,15,50,1,2,3,0,5,0,20,624163,0.7985480943738656,1.0,0.887991927346115,7.333333492279053,0.8224945020420986,0.9916666666666667,0.8991928559161945,0.7981981981981981,1.0,0.8877755511022044
135,15,50,1,2,3,0,2,0,20,19406,0.8608562691131498,0.9942604856512142,0.9227617291538619,3.3333332538604736,0.8730097087378641,0.9924944812362031,0.9289256198347108,0.290759270158917,1.0,0.45052439580483356
135,15,50,1,2,3,0,3,0,20,14012,0.9320094244362168,0.974313863476425,0.9526922415276106,6.0,0.9515403253721011,0.9672765657987333,0.9593439190368173,0.9706535141800247,1.0,0.9851082467776248
135,15,50,1,2,3,0,5,0,20,621784,0.7493067110371603,0.9926524614254225,0.8539823008849557,2.6666667461395264,0.8328682170542636,0.9867744305657604,0.9033125945855053,0.7845826893353941,1.0,0.8792898127097543
135,15,50,1,2,3,0,2,0,20,20500,0.8307513555383423,0.99721059972106,0.906401859285865,3.3333332538604736,0.8409090909090909,0.99767549976755,0.9126089729959601,0.7650137741046832,1.0,0.866864367098486
135,15,50,1,2,3,0,3,0,20,71852,0.8070661586421891,0.9961522017956391,0.8916953693073096,7.333333492279053,0.8265813788201848,0.9944420692603677,0.9027750824762274,0.22204788866907701,1.0,0.3634029250865245
135,15,50,1,2,3,0,2,0,20,139904,0.45989143546441497,0.9986902423051736,0.629774932892835,13.333333015441895,0.6628796154686476,0.9934512115258677,0.795177565194601,0.256836390121168,1.0,0.4087029817722052
135,15,50,1,2,3,0,2,0,20,139904,0.45989143546441497,0.9986902423051736,0.629774932892835,13.333333015441895,0.6628796154686476,0.9934512115258677,0.795177565194601,0.256836390121168,1.0,0.4087029817722052
135,15,50,1,2,3,0,3,0,20,135293,0.4961165048543689,1.0,0.6632057105775471,18.66666603088379,0.6304212492218303,0.9908675799086758,0.770577045022194,0.2621695891127977,1.0,0.41542688300243635
135,15,50,1,2,3,0,5,0,20,153290,0.5461292200232829,1.0,0.7064470588235294,15.333333015441895,0.7132254995242626,0.9986677324806821,0.8321492007104796,0.3323734836417106,1.0,0.4989193911803927
135,15,50,1,2,3,0,2,0,20,13087,0.9166979362101313,0.9995908346972177,0.9563515365042082,2.6666667461395264,0.9087523277467412,0.9983633387888707,0.951452524858647,0.9470179502026635,1.0,0.9727881040892193
135,15,50,1,2,3,0,3,0,20,28133,0.851927570093458,0.9915023793337865,0.916431039899466,8.666666984558105,0.9122474747474747,0.982324949014276,0.9459901800327333,0.9906172839506173,1.0,0.9952865293971719
135,15,50,1,2,3,0,5,0,20,579407,0.7502771618625277,0.9937591776798825,0.8550221099178775,10.0,0.8329215565163681,0.9900881057268722,0.9047299563904729,0.3762232693004712,1.0,0.5467474321833026
135,15,50,1,2,3,0,2,0,20,28947,0.8016353725015143,0.9538738738738739,0.8711535297021558,12.0,0.8820816864295126,0.9650450450450451,0.9217002237136466,0.9529100529100529,1.0,0.9758872934164183
135,15,50,1,2,3,0,3,0,20,8849,0.9458446866485014,0.9967695620961953,0.9706396364907375,6.666666507720947,0.9713086074177747,0.9964106245513281,0.9836995038979448,0.9819292440824637,1.0,0.9908822396301529
135,15,50,1,2,3,0,5,0,20,624163,0.7985480943738656,1.0,0.887991927346115,7.333333492279053,0.8224945020420986,0.9916666666666667,0.8991928559161945,0.7981981981981981,1.0,0.8877755511022044
135,15,50,1,2,3,0,2,0,20,19406,0.8608562691131498,0.9942604856512142,0.9227617291538619,3.3333332538604736,0.8730097087378641,0.9924944812362031,0.9289256198347108,0.290759270158917,1.0,0.45052439580483356
135,15,50,1,2,3,0,3,0,20,14012,0.9320094244362168,0.974313863476425,0.9526922415276106,6.0,0.9515403253721011,0.9672765657987333,0.9593439190368173,0.9706535141800247,1.0,0.9851082467776248
135,15,50,1,2,3,0,5,0,20,621784,0.7493067110371603,0.9926524614254225,0.8539823008849557,2.6666667461395264,0.8328682170542636,0.9867744305657604,0.9033125945855053,0.7845826893353941,1.0,0.8792898127097543
135,15,50,1,2,3,0,2,0,20,20500,0.8307513555383423,0.99721059972106,0.906401859285865,3.3333332538604736,0.8409090909090909,0.99767549976755,0.9126089729959601,0.7650137741046832,1.0,0.866864367098486
135,15,50,1,2,3,0,3,0,20,71852,0.8070661586421891,0.9961522017956391,0.8916953693073096,7.333333492279053,0.8265813788201848,0.9944420692603677,0.9027750824762274,0.22204788866907701,1.0,0.3634029250865245
135,15,50,1,2,3,0,2,0,20,139904,0.45989143546441497,0.9986902423051736,0.629774932892835,13.333333015441895,0.6628796154686476,0.9934512115258677,0.795177565194601,0.256836390121168,1.0,0.4087029817722052
135,15,50,1,2,3,0,2,0,20,139904,0.45989143546441497,0.9986902423051736,0.629774932892835,13.333333015441895,0.6628796154686476,0.9934512115258677,0.795177565194601,0.256836390121168,1.0,0.4087029817722052
135,15,50,1,2,3,0,3,0,20,135293,0.4961165048543689,1.0,0.6632057105775471,18.66666603088379,0.6304212492218303,0.9908675799086758,0.770577045022194,0.2621695891127977,1.0,0.41542688300243635
135,15,50,1,2,3,0,5,0,20,153290,0.5461292200232829,1.0,0.7064470588235294,15.333333015441895,0.7132254995242626,0.9986677324806821,0.8321492007104796,0.3323734836417106,1.0,0.4989193911803927
135,15,50,1,2,3,0,2,0,20,13087,0.9166979362101313,0.9995908346972177,0.9563515365042082,2.6666667461395264,0.9087523277467412,0.9983633387888707,0.951452524858647,0.9470179502026635,1.0,0.9727881040892193
135,15,50,1,2,3,0,3,0,20,28133,0.851927570093458,0.9915023793337865,0.916431039899466,8.666666984558105,0.9122474747474747,0.982324949014276,0.9459901800327333,0.9906172839506173,1.0,0.9952865293971719
135,15,50,1,2,3,0,5,0,20,579407,0.7502771618625277,0.9937591776798825,0.8550221099178775,10.0,0.8329215565163681,0.9900881057268722,0.9047299563904729,0.3762232693004712,1.0,0.5467474321833026
135,15,50,1,2,3,0,2,0,20,28947,0.8016353725015143,0.9538738738738739,0.8711535297021558,12.0,0.8820816864295126,0.9650450450450451,0.9217002237136466,0.9529100529100529,1.0,0.9758872934164183
135,15,50,1,2,3,0,3,0,20,8849,0.9458446866485014,0.9967695620961953,0.9706396364907375,6.666666507720947,0.9713086074177747,0.9964106245513281,0.9836995038979448,0.9819292440824637,1.0,0.9908822396301529
135,15,50,1,2,3,0,5,0,20,624163,0.7985480943738656,1.0,0.887991927346115,7.333333492279053,0.8224945020420986,0.9916666666666667,0.8991928559161945,0.7981981981981981,1.0,0.8877755511022044
135,15,50,1,2,3,0,2,0,20,19406,0.8608562691131498,0.9942604856512142,0.9227617291538619,3.3333332538604736,0.8730097087378641,0.9924944812362031,0.9289256198347108,0.290759270158917,1.0,0.45052439580483356
135,15,50,1,2,3,0,3,0,20,14012,0.9320094244362168,0.974313863476425,0.9526922415276106,6.0,0.9515403253721011,0.9672765657987333,0.9593439190368173,0.9706535141800247,1.0,0.9851082467776248
135,15,50,1,2,3,0,5,0,20,621784,0.7493067110371603,0.9926524614254225,0.8539823008849557,2.6666667461395264,0.8328682170542636,0.9867744305657604,0.9033125945855053,0.7845826893353941,1.0,0.8792898127097543
135,15,50,1,2,3,0,2,0,20,20500,0.8307513555383423,0.99721059972106,0.906401859285865,3.3333332538604736,0.8409090909090909,0.99767549976755,0.9126089729959601,0.7650137741046832,1.0,0.866864367098486
135,15,50,1,2,3,0,3,0,20,71852,0.8070661586421891,0.9961522017956391,0.8916953693073096,7.333333492279053,0.8265813788201848,0.9944420692603677,0.9027750824762274,0.22204788866907701,1.0,0.3634029250865245
135,15,50,1,2,3,0,2,0,20,139904,0.45989143546441497,0.9986902423051736,0.629774932892835,13.333333015441895,0.6628796154686476,0.9934512115258677,0.795177565194601,0.256836390121168,1.0,0.4087029817722052
135,15,50,1,2,3,0,2,0,20,139904,0.45989143546441497,0.9986902423051736,0.629774932892835,13.333333015441895,0.6628796154686476,0.9934512115258677,0.795177565194601,0.256836390121168,1.0,0.4087029817722052
135,15,50,1,2,3,0,3,0,20,135293,0.4961165048543689,1.0,0.6632057105775471,18.66666603088379,0.6304212492218303,0.9908675799086758,0.770577045022194,0.2621695891127977,1.0,0.41542688300243635
135,15,50,1,2,3,0,5,0,20,153290,0.5461292200232829,1.0,0.7064470588235294,15.333333015441895,0.7132254995242626,0.9986677324806821,0.8321492007104796,0.3323734836417106,1.0,0.4989193911803927
135,15,50,1,2,3,0,2,0,20,13087,0.9166979362101313,0.9995908346972177,0.9563515365042082,2.6666667461395264,0.9087523277467412,0.9983633387888707,0.951452524858647,0.9470179502026635,1.0,0.9727881040892193
135,15,50,1,2,3,0,3,0,20,28133,0.851927570093458,0.9915023793337865,0.916431039899466,8.666666984558105,0.9122474747474747,0.982324949014276,0.9459901800327333,0.9906172839506173,1.0,0.9952865293971719
135,15,50,1,2,3,0,5,0,20,579407,0.7502771618625277,0.9937591776798825,0.8550221099178775,10.0,0.8329215565163681,0.9900881057268722,0.9047299563904729,0.3762232693004712,1.0,0.5467474321833026
135,15,50,1,2,3,0,2,0,20,28947,0.8016353725015143,0.9538738738738739,0.8711535297021558,12.0,0.8820816864295126,0.9650450450450451,0.9217002237136466,0.9529100529100529,1.0,0.9758872934164183
135,15,50,1,2,3,0,3,0,20,8849,0.9458446866485014,0.9967695620961953,0.9706396364907375,6.666666507720947,0.9713086074177747,0.9964106245513281,0.9836995038979448,0.9819292440824637,1.0,0.9908822396301529
135,15,50,1,2,3,0,5,0,20,624163,0.7985480943738656,1.0,0.887991927346115,7.333333492279053,0.8224945020420986,0.9916666666666667,0.8991928559161945,0.7981981981981981,1.0,0.8877755511022044
135,15,50,1,2,3,0,2,0,20,19406,0.8608562691131498,0.9942604856512142,0.9227617291538619,3.3333332538604736,0.8730097087378641,0.9924944812362031,0.9289256198347108,0.290759270158917,1.0,0.45052439580483356
135,15,50,1,2,3,0,3,0,20,14012,0.9320094244362168,0.974313863476425,0.9526922415276106,6.0,0.9515403253721011,0.9672765657987333,0.9593439190368173,0.9706535141800247,1.0,0.9851082467776248
135,15,50,1,2,3,0,5,0,20,621784,0.7493067110371603,0.9926524614254225,0.8539823008849557,2.6666667461395264,0.8328682170542636,0.9867744305657604,0.9033125945855053,0.7845826893353941,1.0,0.8792898127097543
135,15,50,1,2,3,0,2,0,20,20500,0.8307513555383423,0.99721059972106,0.906401859285865,3.3333332538604736,0.8409090909090909,0.99767549976755,0.9126089729959601,0.7650137741046832,1.0,0.866864367098486
135,15,50,1,2,3,0,3,0,20,71852,0.8070661586421891,0.9961522017956391,0.8916953693073096,7.333333492279053,0.8265813788201848,0.9944420692603677,0.9027750824762274,0.22204788866907701,1.0,0.3634029250865245
135,15,50,1,2,3,0,2,0,20,139904,0.45989143546441497,0.9986902423051736,0.629774932892835,13.333333015441895,0.6628796154686476,0.9934512115258677,0.795177565194601,0.256836390121168,1.0,0.4087029817722052
135,15,50,1,2,3,0,2,0,20,139904,0.45989143546441497,0.9986902423051736,0.629774932892835,13.333333015441895,0.6628796154686476,0.9934512115258677,0.795177565194601,0.256836390121168,1.0,0.4087029817722052
135,15,50,1,2,3,0,3,0,20,135293,0.4961165048543689,1.0,0.6632057105775471,18.66666603088379,0.6304212492218303,0.9908675799086758,0.770577045022194,0.2621695891127977,1.0,0.41542688300243635
135,15,50,1,2,3,0,5,0,20,153290,0.5461292200232829,1.0,0.7064470588235294,15.333333015441895,0.7132254995242626,0.9986677324806821,0.8321492007104796,0.3323734836417106,1.0,0.4989193911803927
135,15,50,1,2,3,0,2,0,20,13087,0.9166979362101313,0.9995908346972177,0.9563515365042082,2.6666667461395264,0.9087523277467412,0.9983633387888707,0.951452524858647,0.9470179502026635,1.0,0.9727881040892193
135,15,50,1,2,3,0,3,0,20,28133,0.851927570093458,0.9915023793337865,0.916431039899466,8.666666984558105,0.9122474747474747,0.982324949014276,0.9459901800327333,0.9906172839506173,1.0,0.9952865293971719
135,15,50,1,2,3,0,5,0,20,579407,0.7502771618625277,0.9937591776798825,0.8550221099178775,10.0,0.8329215565163681,0.9900881057268722,0.9047299563904729,0.3762232693004712,1.0,0.5467474321833026
135,15,50,1,2,3,0,2,0,20,28947,0.8016353725015143,0.9538738738738739,0.8711535297021558,12.0,0.8820816864295126,0.9650450450450451,0.9217002237136466,0.9529100529100529,1.0,0.9758872934164183
135,15,50,1,2,3,0,3,0,20,8849,0.9458446866485014,0.9967695620961953,0.9706396364907375,6.666666507720947,0.9713086074177747,0.9964106245513281,0.9836995038979448,0.9819292440824637,1.0,0.9908822396301529
135,15,50,1,2,3,0,5,0,20,624163,0.7985480943738656,1.0,0.887991927346115,7.333333492279053,0.8224945020420986,0.9916666666666667,0.8991928559161945,0.7981981981981981,1.0,0.8877755511022044
135,15,50,1,2,3,0,2,0,20,19406,0.8608562691131498,0.9942604856512142,0.9227617291538619,3.3333332538604736,0.8730097087378641,0.9924944812362031,0.9289256198347108,0.290759270158917,1.0,0.45052439580483356
